age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,remark,pline,track,hhead,respond,year,returnee
25.0,15.0,,5.0,0,20500.0,5200.0,265000.0,65600.0,,0.0,,1.0,,,,,,,0.0,1.0,2.0,2013004618,,8.0,1,0.0,0.0,2015.0,0.0
30.0,9.0,21413.76953125,4.0,0,107155.95,45399.0,99500.0,10430.224,,1.0,1.0,2.0,1.0,1.0,,3.0,0.0,0.0,0.0,1.0,2.0,2013012342,,3.0,1,0.0,0.0,2015.0,0.0
29.0,9.0,29999.9921875,2.0,0,578947.9,73236.0,10000.0,74143.984,,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,2013009631,,1.0,1,1.0,1.0,2015.0,0.0
36.0,16.0,,1.0,2,3790994.5,36200.0,,11614.107,,1.0,,2.0,1.0,0.0,2.0,1.0,,1.0,0.0,1.0,2.0,2013000534,,2.0,1,0.0,0.0,2015.0,1.0
55.0,23.0,,2.0,0,134130.0,3000.0,,102180.0,,1.0,,2.0,,,,,,,0.0,2.0,1.0,2013000085,,1.0,1,0.0,0.0,2015.0,0.0
59.0,12.0,,5.0,0,591307.44,72500.0,41000.0,15311.803,,1.0,1.0,2.0,2.0,1.0,3.0,3.0,,0.0,1.0,1.0,2.0,2013020917,,1.0,1,1.0,1.0,2015.0,1.0
33.0,9.0,,4.0,0,70600.0,6723.0,,10749.0,,0.0,,2.0,,,,,,,,1.0,1.0,201104288,,4.0,1,0.0,0.0,2015.0,0.0
55.0,16.0,,7.0,0,3865500.0,45011.0,,27550.002,,0.0,0.0,2.0,1.0,0.0,4.0,2.0,,0.0,,1.0,1.0,2015017013,,3.0,0,0.0,0.0,2015.0,1.0
24.0,6.0,10000.0029296875,4.0,0,45593.895,34150.0,80000.0,22780.004,,1.0,1.0,2.0,2.0,1.0,,3.0,0.0,0.0,0.0,1.0,2.0,2015037225,,3.0,0,0.0,0.0,2015.0,1.0
28.0,9.0,,4.0,0,599000.0,73000.0,70000.0,171799.95,29999.9921875,0.0,1.0,2.0,2.0,0.0,,3.0,,0.0,0.0,2.0,1.0,2015027107,,4.0,0,0.0,0.0,2015.0,0.0
39.0,9.0,48000.01171875,2.0,0,163676.22,92732.0,,15619.999,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,201106320,,5.0,1,0.0,0.0,2015.0,1.0
26.0,9.0,,4.0,0,467989.44,61000.0,,44199.996,,0.0,,1.0,,,,,,,0.0,1.0,2.0,2013013685,,3.0,1,0.0,0.0,2015.0,0.0
25.0,9.0,,6.0,1,451000.0,43993.0,210000.0,37100.0,,0.0,,1.0,,,,,,,,1.0,2.0,2013026102,,7.0,1,0.0,0.0,2015.0,0.0
28.0,15.0,,8.0,1,2945587.0,247120.0,,98600.0,,1.0,1.0,2.0,1.0,0.0,3.0,3.0,,0.0,0.0,1.0,1.0,2013021216,,6.0,1,0.0,0.0,2015.0,0.0
40.0,9.0,,4.0,0,81200.0,97000.0,100000.0,41250.008,,0.0,,2.0,2.0,0.0,5.0,4.0,,0.0,0.0,1.0,2.0,2013011111,,1.0,1,0.0,0.0,2015.0,0.0
