age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,pline,track,hhead,year,hhid_2011,hhid_2013,hhid_2015,hhid_2017,returnee
17.0,12.0,,4.0,0,206328.0,571.148,8000.0,62150.0,,1.0,1.0,,1.0,0.0,,3.0,,,,2.0,1.0,2017036194,4,0,,2017.0,.,.,.,2017036194,0.0
29.0,16.0,60000.0,5.0,1,7249317.0,275994.0,150000.0,254300.0,,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2013013010,2,1,,2017.0,.,2013013010,2015017566,2017017831,1.0
53.0,6.0,20000.0,3.0,0,515684.0,50400.0,0.0,28600.0,,0.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,201105807,1,1,1.0,2017.0,201105807,2013017447,2015023179,2017034172,1.0
26.0,15.0,22500.0,2.0,0,1680010.0,66570.0,0.0,31160.0,,1.0,1.0,1.0,1.0,1.0,,3.0,0.0,0.0,0.0,1.0,1.0,201104387,1,1,,2017.0,201104387,2013014657,2015020037,2017024014,1.0
34.0,12.0,,2.0,0,666071.0,16635.355,,29940.0,,1.0,1.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2015018211,7,1,,2017.0,.,.,2015018211,2017022556,0.0
45.0,6.0,,2.0,0,553905.0,76755.0,0.0,100808.0,7000.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,,,0.0,1.0,2.0,201107206,3,1,,2017.0,201107206,2013020147,2015027860,2017025833,1.0
31.0,19.0,,1.0,1,11327182.0,316927.56,0.0,106100.0,,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2013000379,1,1,1.0,2017.0,.,2013000379,2015000358,2017022475,1.0
50.0,9.0,30000.0,3.0,0,1082350.0,104584.0,570000.0,59180.0,,1.0,1.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,2013015350,1,1,1.0,2017.0,.,2013015350,2015021092,2017017431,0.0
25.0,9.0,,4.0,1,1552508.0,221020.0,0.0,123780.0,,1.0,1.0,2.0,1.0,1.0,,3.0,0.0,,0.0,1.0,1.0,2013014214,3,1,,2017.0,.,2013014214,2015019040,2017035311,1.0
22.0,16.0,,6.0,0,11276.0,229024.0,11000.0,297131.0,,1.0,1.0,1.0,1.0,1.0,,3.0,0.0,,1.0,1.0,2.0,2013024395,23,1,,2017.0,.,2013024395,2015033082,2017034733,1.0
41.0,16.0,,2.0,2,17764020.0,596921.06,790000.0,482632.0,11000.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,,,1.0,1.0,2015025376,2,1,,2017.0,.,.,2015025376,2017033225,0.0
46.0,16.0,84000.0,3.0,1,7350057.0,168000.0,2500000.0,16800.0,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2017010710,2,0,,2017.0,.,.,.,2017010710,0.0
23.0,19.0,,4.0,0,437035.0,46000.0,,65400.0,,0.0,1.0,1.0,1.0,0.0,,2.0,,,,1.0,2.0,201105684,4,1,,2017.0,201105684,2013017326,2015023059,2017004377,0.0
17.0,12.0,,4.0,0,1191119.0,30614.0,195000.0,29577.0,,1.0,1.0,,1.0,0.0,,2.0,,,,1.0,2.0,2017013482,4,0,,2017.0,.,.,.,2017013482,0.0
